urls_id	urls	urls_title	urls_visit_count	urls_typed_count	urls_last_visit_time	urls_hidden	visits_time	visits_from_visit	visits_duration	visits_transition
254	https://medium.com/?source=post_page-----e7ac663e88e9--------------------------------	Medium	1	0	13269263393651099	0	13269263393651099	670	0	805306368
255	https://medium.com/scorelab/google-summer-of-code-openmf-week-3-e7ac663e88e9?source=---------0----------------------------	Google Summer of Code: OpenMF Week 3 | by Swapnal Shahil | SCoRe Lab | Jun, 2021 | Medium	4	0	13269673434865796	0	13269673434865796	779	0	805306368
256	https://medium.com/scorelab/google-summer-of-code-openmf-week-3-e7ac663e88e9	Google Summer of Code: OpenMF Week 3 | by Swapnal Shahil | SCoRe Lab | Jun, 2021 | Medium	5	0	13269673443075238	0	13269673443075238	779	13640279	805306368
257	https://medium.com/scorelab/google-summer-of-code-openmf-week-3-e7ac663e88e9?source=collection_home---5------3-----------------------	Google Summer of Code: OpenMF Week 3 | by Swapnal Shahil | SCoRe Lab | Jun, 2021 | Medium	1	0	13269363986262230	0	13269363986262230	692	0	1073741824
258	https://medium.com/scorelab?source=post_page-----e7ac663e88e9--------------------------------	SCoRe Lab – Medium	1	0	13269364033718446	0	13269364033718446	694	0	805306368
259	https://medium.com/search/tags?q=Iit%20guwahati%20	Search tags – Medium	2	0	13269364254339076	0	13269364254339076	698	0	805306368
260	https://medium.com/search/users?q=Iit%20guwahati%20	Search users – Medium	1	0	13269364227419393	0	13269364227419393	698	0	805306368
261	https://medium.com/tag/iit-guwahati?source=search	The most insightful stories about Iit Guwahati - Medium	1	0	13269364257324465	0	13269364257324465	707	0	1073741824
262	https://medium.com/tag/iit-guwahati	The most insightful stories about Iit Guwahati - Medium	2	0	13269364345435208	0	13269364345435208	709	0	1895825408
263	https://medium.com/tag/iit-guwahati/top/week?source=topics_v2-------------------------------------	Read this week's top stories about Iit Guwahati - Medium	1	0	13269364328239019	0	13269364328239019	709	0	1073741824
264	https://medium.com/tag/iit-guwahati/top/week	Read this week's top stories about Iit Guwahati - Medium	1	0	13269364331729904	0	13269364331729904	710	0	1610612736
265	https://www.google.com/search?q=bronze&oq=bronze&aqs=chrome..69i57j0l2j0i433l2.6982j1j4&client=ms-android-samsung&sourceid=chrome-mobile&ie=UTF-8	bronze - Google Search	2	0	13269365223731296	0	13269365223731296	0	0	855638021
